topology_id	topology_num	topology
139	10	(((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Solanum_lycopersicum),Arabidopsis_thaliana),Vitis_vinifera);
140	10	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),(Solanum_lycopersicum,Oryza_sativa_L.Nipponbare)),Vitis_vinifera),Amborella_trichopoda);
141	10	(((((Medicago_truncatula,Glycine_max),Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera),Amborella_trichopoda);
142	10	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),(Vitis_vinifera,Oryza_sativa_L.Nipponbare)),Solanum_lycopersicum),Amborella_trichopoda);
143	10	((((Medicago_truncatula,Glycine_max),((Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare),Vitis_vinifera)),Solanum_lycopersicum),Amborella_trichopoda);
144	10	((((Glycine_max,Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Amborella_trichopoda);
145	10	((((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
146	10	(((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Amborella_trichopoda);
147	9	((((((Medicago_truncatula,Glycine_max),Oryza_sativa_L.Nipponbare),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Amborella_trichopoda);
148	9	((((((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Amborella_trichopoda);
149	9	((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,(Solanum_lycopersicum,Oryza_sativa_L.Nipponbare))),Vitis_vinifera),Amborella_trichopoda);
150	9	((((Medicago_truncatula,Glycine_max),Vitis_vinifera),((Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare),Solanum_lycopersicum)),Amborella_trichopoda);
151	9	(((Medicago_truncatula,Glycine_max),(((Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare),Solanum_lycopersicum),Vitis_vinifera)),Amborella_trichopoda);
152	9	(((((Glycine_max,Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
153	9	(((Medicago_truncatula,Glycine_max),((Arabidopsis_thaliana,Vitis_vinifera),Solanum_lycopersicum)),Amborella_trichopoda);
154	9	((((Medicago_truncatula,Glycine_max),Glycine_max),Vitis_vinifera),Amborella_trichopoda);
155	9	(((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana);
156	9	((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
157	9	((Glycine_max,Solanum_lycopersicum),Vitis_vinifera);
158	9	((Glycine_max,Arabidopsis_thaliana),Solanum_lycopersicum);
159	9	(Glycine_max,Arabidopsis_thaliana);
160	8	(((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
161	8	(((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera),Amborella_trichopoda);
162	8	(((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),(Vitis_vinifera,Solanum_lycopersicum)),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
163	8	(((((((Medicago_truncatula,Glycine_max),Glycine_max),Solanum_lycopersicum),Vitis_vinifera),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
164	8	(((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),(Vitis_vinifera,Solanum_lycopersicum)),Arabidopsis_thaliana),Amborella_trichopoda);
165	8	((((((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
166	8	(((((Medicago_truncatula,Glycine_max),Oryza_sativa_L.Nipponbare),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera),Amborella_trichopoda);
167	8	(((((Medicago_truncatula,Glycine_max),Oryza_sativa_L.Nipponbare),(Vitis_vinifera,Solanum_lycopersicum)),Arabidopsis_thaliana),Amborella_trichopoda);
168	8	((((Medicago_truncatula,Glycine_max),Glycine_max),((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera)),Amborella_trichopoda);
169	8	(((((Medicago_truncatula,Glycine_max),Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Vitis_vinifera);
170	8	(((Glycine_max,((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
171	8	(((Arabidopsis_thaliana,(Vitis_vinifera,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
172	8	(((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare);
173	8	((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Vitis_vinifera),Oryza_sativa_L.Nipponbare);
174	8	((Arabidopsis_thaliana,(Vitis_vinifera,Solanum_lycopersicum)),Amborella_trichopoda);
175	8	(((Medicago_truncatula,Glycine_max),Medicago_truncatula),Vitis_vinifera);
176	8	((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera);
177	8	(Arabidopsis_thaliana,Solanum_lycopersicum);
178	8	(Glycine_max,Vitis_vinifera);
179	7	((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),(Arabidopsis_thaliana,Vitis_vinifera)),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
180	7	(((((Medicago_truncatula,(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),(Vitis_vinifera,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
181	7	((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Solanum_lycopersicum),Vitis_vinifera),Arabidopsis_thaliana),Amborella_trichopoda);
182	7	(((((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
183	7	((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Amborella_trichopoda);
184	7	((((((Medicago_truncatula,(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
185	7	((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera)),Amborella_trichopoda);
186	7	((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
187	7	((((Medicago_truncatula,Glycine_max),(Vitis_vinifera,Oryza_sativa_L.Nipponbare)),(Arabidopsis_thaliana,Solanum_lycopersicum)),Amborella_trichopoda);
188	7	(((((Medicago_truncatula,Glycine_max),Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
189	7	(((((Medicago_truncatula,Glycine_max),Glycine_max),Vitis_vinifera),Solanum_lycopersicum),Amborella_trichopoda);
