GeneID,leaf.ammonium,leaf.nitrate,leaf.urea,root.ammonium,root.nitrate,root.urea
AT3G56050,41.43,70.661,46.188,32.767,40.012,39.123
AT3G56060,4.786,13.635,7.629,0.345,0.48,0.181
AT3G56070,23.886,30.287,28.136,38.987,44.967,32.549
AT3G56080,7.897,10.113,9.299,0.913,0.097,0.352
AT3G56090,23.93,48.074,60.295,43.857,77.991,66.764
AT3G56100,0.556,1.469,0.867,2.216,2.351,1.397
AT3G56110,11.118,10.176,9.146,15.888,18.73,14.832
AT3G56120,8.379,10.454,9.353,14.466,15.335,14.837
AT3G56130,24.016,18.052,35.104,49.139,58.528,50.665
AT3G56140,39.092,22.374,32.522,9.374,6.465,9.493
AT3G56150,55.004,66.994,59.977,80.159,91.92,71.186
AT3G56160,13.839,16.075,16.484,14.033,10.965,14.373
AT3G56170,16.322,16.683,12.809,13.64,10.129,10.149
AT3G56180,0,0,0,0.016,0.016,0
AT3G56190,91.64,81.799,81.206,92.151,92.881,85.717
AT3G56200,20.049,29.426,16.556,18.046,23.49,16.698
AT3G56210,12.205,12.477,11.917,8.386,7.579,8.74
AT3G56220,0.415,0.949,0.667,3.423,5.147,3.682
AT3G56230,0.186,0.181,0.26,1.832,1.996,0.961
AT3G56240,133.84,127.52,131.565,210.419,148.256,287.12
AT3G56250,0.817,1.391,1.116,4.658,4.27,4.714
AT3G56260,2.24,1.883,1.876,0.185,0.109,0.101
AT3G56270,2.092,5.304,3.669,6.345,6.484,5.244
AT3G56290,11.765,10.662,9.924,0.107,0.016,0.087
AT3G56300,0.879,1.403,1.184,2.041,2.503,2.395
AT3G56310,56.533,49.916,44.359,71.803,50.511,52.942
AT3G56320,6.571,3.367,3.428,7.463,6.547,6.597
AT3G56330,5.475,8.276,7.215,2.7,2.763,2.47
AT3G56340,111.267,134.103,114.776,211.272,252.326,205.674
AT3G56350,0.012,0,0,0.31,0.053,0.098
AT3G56360,109.871,142.095,100.767,95.511,97.75,94.319
AT3G56370,6.515,22.235,9.425,23.699,29.003,21.871
AT3G56380,0.026,0.091,0.058,0.796,0.941,0.395
AT3G56390,0,0,0,0,0.045,0.044
AT3G56400,129.793,171.831,74.733,44.014,32.447,36.145
