P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Glycine_max	Arachis_duranensis	Medicago_truncatula	-1.1752512368056707	0.8800528301277437	0.5	454.0	15.0	92.0	9.0	3.0	9.0	14.0	1.0	9.0	23.0	1.0	2.0	9.0	1.0	0.0
Medicago_truncatula	Glycine_max	Arachis_duranensis	0.0	0.49999999949999996	nan	454.0	92.0	9.0	9.0	2.0	15.0	9.0	3.0	14.0	23.0	9.0	1.0	1.0	1.0	0.0
Glycine_max	Arachis_hypogaea	Arachis_ipaensis	3.056477766037875	0.0011198394095817132	0.0	470.0	0.0	0.0	103.0	0.0	23.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	14.0	0.0
Glycine_max	Arachis_ipaensis	Arachis_hypogaea	3.056477766037875	0.0011198394095817132	0.0	470.0	0.0	0.0	103.0	0.0	23.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	14.0	0.0
Arachis_hypogaea	Glycine_max	Arachis_ipaensis	-325.7145989973061	1.0	0.5	470.0	0.0	23.0	0.0	0.0	0.0	103.0	0.0	0.0	32.0	0.0	0.0	14.0	0.0	0.0
Glycine_max	Arachis_hypogaea	Arachis_duranensis	3.0528733911148613	0.0011333767497894165	0.0	466.0	4.0	3.0	100.0	0.0	23.0	0.0	0.0	0.0	32.0	0.0	1.0	1.0	12.0	0.0
Glycine_max	Arachis_duranensis	Arachis_hypogaea	3.0528733911148613	0.0011333767497894165	0.0	466.0	3.0	4.0	100.0	0.0	23.0	0.0	1.0	0.0	32.0	1.0	0.0	0.0	12.0	0.0
Arachis_hypogaea	Glycine_max	Arachis_duranensis	-316.22776601684694	1.0	0.5	466.0	4.0	23.0	0.0	0.0	3.0	100.0	0.0	0.0	32.0	0.0	1.0	12.0	1.0	0.0
Glycine_max	Arachis_ipaensis	Arachis_duranensis	3.0528733911148613	0.0011333767497894165	0.0	466.0	4.0	3.0	100.0	0.0	23.0	0.0	0.0	0.0	32.0	0.0	1.0	1.0	12.0	0.0
Glycine_max	Arachis_duranensis	Arachis_ipaensis	3.0528733911148613	0.0011333767497894165	0.0	466.0	3.0	4.0	100.0	0.0	23.0	0.0	1.0	0.0	32.0	1.0	0.0	0.0	12.0	0.0
Arachis_ipaensis	Glycine_max	Arachis_duranensis	-316.22776601684694	1.0	0.5	466.0	4.0	23.0	0.0	0.0	3.0	100.0	0.0	0.0	32.0	0.0	1.0	12.0	1.0	0.0
Trifolium_pratense	Medicago_truncatula	Arachis_hypogaea	0.6449986970838127	0.2594639538173211	0.9117647058823529	821.0	176.0	60.0	13.0	18.0	13.0	10.0	7.0	41.0	40.0	16.0	4.0	7.0	2.0	2.0
Trifolium_pratense	Arachis_hypogaea	Medicago_truncatula	-6.019987839448915	0.9999999991246817	0.5254237288135594	821.0	60.0	176.0	13.0	18.0	13.0	41.0	4.0	10.0	40.0	7.0	7.0	16.0	2.0	2.0
Medicago_truncatula	Trifolium_pratense	Arachis_hypogaea	-0.5825794683337663	0.7199118262034201	1.1199999999999999	821.0	176.0	13.0	10.0	7.0	60.0	13.0	18.0	41.0	40.0	16.0	4.0	2.0	7.0	2.0
Trifolium_pratense	Medicago_truncatula	Arachis_ipaensis	0.5953105726832297	0.2758178986944879	0.8947368421052632	482.0	99.0	8.0	7.0	3.0	8.0	5.0	4.0	22.0	27.0	12.0	1.0	1.0	1.0	1.0
Trifolium_pratense	Arachis_ipaensis	Medicago_truncatula	-4.464829295124224	0.9999959898320652	0.53125	482.0	8.0	99.0	7.0	3.0	8.0	22.0	1.0	5.0	27.0	1.0	4.0	12.0	1.0	1.0
Medicago_truncatula	Trifolium_pratense	Arachis_ipaensis	-0.5252740347204968	0.700303662326274	1.1538461538461537	482.0	99.0	8.0	5.0	4.0	8.0	7.0	3.0	22.0	27.0	12.0	1.0	1.0	1.0	1.0
Trifolium_pratense	Medicago_truncatula	Arachis_duranensis	0.0	0.49999999949999996	nan	481.0	100.0	8.0	7.0	3.0	7.0	7.0	3.0	24.0	27.0	10.0	1.0	1.0	1.0	1.0
Trifolium_pratense	Arachis_duranensis	Medicago_truncatula	-4.527300950976113	0.9999970100654696	0.5	481.0	8.0	100.0	7.0	3.0	7.0	24.0	1.0	7.0	27.0	1.0	3.0	10.0	1.0	1.0
Medicago_truncatula	Trifolium_pratense	Arachis_duranensis	0.0	0.49999999949999996	nan	481.0	100.0	7.0	7.0	3.0	8.0	7.0	3.0	24.0	27.0	10.0	1.0	1.0	1.0	1.0
Trifolium_pratense	Arachis_hypogaea	Arachis_ipaensis	3.0618776804792933	0.0010998354567259838	0.0	490.0	0.0	0.0	109.0	0.0	31.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	18.0	0.0
Trifolium_pratense	Arachis_ipaensis	Arachis_hypogaea	3.0618776804792933	0.0010998354567259838	0.0	490.0	0.0	0.0	109.0	0.0	31.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	18.0	0.0
Arachis_hypogaea	Trifolium_pratense	Arachis_ipaensis	-344.68826495836316	1.0	0.5	490.0	0.0	31.0	0.0	0.0	0.0	109.0	0.0	0.0	33.0	0.0	0.0	18.0	0.0	0.0
Trifolium_pratense	Arachis_hypogaea	Arachis_duranensis	-99999.9	1.0	-0.009523809523809523	487.0	3.0	2.0	107.0	0.0	30.0	1.0	0.0	0.0	33.0	0.0	2.0	1.0	15.0	0.0
Trifolium_pratense	Arachis_duranensis	Arachis_hypogaea	0.9498342663471255	0.17109822587435985	0.009259259259259259	487.0	2.0	3.0	107.0	0.0	30.0	0.0	2.0	1.0	33.0	1.0	0.0	0.0	15.0	0.0
Arachis_hypogaea	Trifolium_pratense	Arachis_duranensis	-100.6824322327951	1.0	0.5023474178403756	487.0	3.0	30.0	1.0	0.0	2.0	107.0	0.0	0.0	33.0	0.0	2.0	15.0	1.0	0.0
Trifolium_pratense	Arachis_ipaensis	Arachis_duranensis	-99999.9	1.0	-0.009523809523809523	487.0	3.0	2.0	107.0	0.0	30.0	1.0	0.0	0.0	33.0	0.0	2.0	1.0	15.0	0.0
Trifolium_pratense	Arachis_duranensis	Arachis_ipaensis	0.9498342663471255	0.17109822587435985	0.009259259259259259	487.0	2.0	3.0	107.0	0.0	30.0	0.0	2.0	1.0	33.0	1.0	0.0	0.0	15.0	0.0
Arachis_ipaensis	Trifolium_pratense	Arachis_duranensis	-100.6824322327951	1.0	0.5023474178403756	487.0	3.0	30.0	1.0	0.0	2.0	107.0	0.0	0.0	33.0	0.0	2.0	15.0	1.0	0.0
Medicago_truncatula	Arachis_hypogaea	Arachis_ipaensis	3.0608170763060354	0.0011037384206210588	0.0	490.0	0.0	0.0	108.0	0.0	31.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	17.0	0.0
Medicago_truncatula	Arachis_ipaensis	Arachis_hypogaea	3.0608170763060354	0.0011037384206210588	0.0	490.0	0.0	0.0	108.0	0.0	31.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	17.0	0.0
Arachis_hypogaea	Medicago_truncatula	Arachis_ipaensis	-341.5259872981947	1.0	0.5	490.0	0.0	31.0	0.0	0.0	0.0	108.0	0.0	0.0	35.0	0.0	0.0	17.0	0.0	0.0
Medicago_truncatula	Arachis_hypogaea	Arachis_duranensis	3.057523386144143	0.0011159400792455365	0.0	486.0	4.0	2.0	105.0	1.0	31.0	0.0	0.0	0.0	35.0	0.0	2.0	0.0	15.0	0.0
Medicago_truncatula	Arachis_duranensis	Arachis_hypogaea	3.057523386144143	0.0011159400792455365	0.0	486.0	2.0	4.0	105.0	1.0	31.0	0.0	2.0	0.0	35.0	0.0	0.0	0.0	15.0	0.0
Arachis_hypogaea	Medicago_truncatula	Arachis_duranensis	-332.0391543176893	1.0	0.5	486.0	4.0	31.0	0.0	0.0	2.0	105.0	1.0	0.0	35.0	0.0	2.0	15.0	0.0	0.0
Medicago_truncatula	Arachis_ipaensis	Arachis_duranensis	3.057523386144143	0.0011159400792455365	0.0	486.0	4.0	2.0	105.0	1.0	31.0	0.0	0.0	0.0	35.0	0.0	2.0	0.0	15.0	0.0
Medicago_truncatula	Arachis_duranensis	Arachis_ipaensis	3.057523386144143	0.0011159400792455365	0.0	486.0	2.0	4.0	105.0	1.0	31.0	0.0	2.0	0.0	35.0	0.0	0.0	0.0	15.0	0.0
Arachis_ipaensis	Medicago_truncatula	Arachis_duranensis	-332.0391543176893	1.0	0.5	486.0	4.0	31.0	0.0	0.0	2.0	105.0	1.0	0.0	35.0	0.0	2.0	15.0	0.0	0.0
Arachis_hypogaea	Arachis_ipaensis	Arachis_duranensis	0.0	0.49999999949999996	nan	519.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	156.0	1.0	0.0	0.0	0.0	0.0
Arachis_hypogaea	Arachis_duranensis	Arachis_ipaensis	-12.649110640673427	1.0	0.5	519.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	156.0	0.0	0.0	1.0	0.0	0.0
