P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Trifolium_pratense	Glycine_max	Arachis_ipaensis	4.779439092493994	8.80035188277617e-07	0.6242038216560509	780.0	118.0	82.0	97.0	29.0	163.0	38.0	31.0	136.0	216.0	89.0	50.0	36.0	93.0	22.0
Medicago_truncatula	Glycine_max	Arachis_hypogaea	4.269536256343171	9.80072628908868e-06	0.6753246753246753	799.0	113.0	73.0	92.0	26.0	141.0	42.0	29.0	146.0	225.0	89.0	47.0	41.0	84.0	21.0
Medicago_truncatula	Glycine_max	Arachis_ipaensis	4.269536256343171	9.80072628908868e-06	0.6753246753246753	799.0	113.0	73.0	92.0	26.0	141.0	42.0	29.0	146.0	225.0	89.0	47.0	41.0	84.0	21.0
Medicago_truncatula	Glycine_max	Arachis_hypogaea	3.3054699137354198	0.0004741444782367932	0.5479452054794521	910.0	72.0	75.0	56.0	14.0	79.0	23.0	20.0	63.0	363.0	45.0	17.0	58.0	35.0	15.0
Medicago_truncatula	Glycine_max	Arachis_ipaensis	3.3054699137354198	0.0004741444782367932	0.5479452054794521	910.0	72.0	75.0	56.0	14.0	79.0	23.0	20.0	63.0	363.0	45.0	17.0	58.0	35.0	15.0
Medicago_truncatula	Glycine_max	Arachis_hypogaea	3.3054699137354198	0.0004741444782367932	0.5479452054794521	910.0	72.0	75.0	56.0	14.0	79.0	23.0	20.0	63.0	363.0	45.0	17.0	58.0	35.0	15.0
Medicago_truncatula	Glycine_max	Arachis_ipaensis	3.3054699137354198	0.0004741444782367932	0.5479452054794521	910.0	72.0	75.0	56.0	14.0	79.0	23.0	20.0	63.0	363.0	45.0	17.0	58.0	35.0	15.0
Arachis_duranensis	Glycine_max	Medicago_truncatula	3.702686029570735	0.00010669465864943106	0.35416666666666663	899.0	56.0	48.0	83.0	19.0	169.0	21.0	14.0	55.0	350.0	49.0	29.0	38.0	120.0	9.0
Arachis_hypogaea	Glycine_max	Medicago_truncatula	3.7107669203200992	0.00010334587846250187	0.30275229357798167	903.0	53.0	47.0	97.0	20.0	170.0	21.0	18.0	54.0	355.0	49.0	31.0	38.0	109.0	9.0
Arachis_ipaensis	Glycine_max	Medicago_truncatula	3.4485352687155175	0.0002818659909036292	0.3191489361702128	899.0	55.0	51.0	85.0	18.0	169.0	21.0	15.0	51.0	352.0	49.0	30.0	39.0	116.0	9.0
